Name,Price
AGRITECH,Final
FACT,116.50
ICICIPRULI,591.85
ABCAPITAL,572.05
KOTAKBANK,170.95
NELCO,"1,725.00"
MANGALAM,698.80
SIGACHI,93.80
JUBLINGREA,56.20
JINDALSAW,427.30
MAXHEALTH,390.00
TIINDIA,742.45
INDOSTAR,"3,446.00"
SREEL,185.05
JMFINANCIL,275.00
SHRIRAMFIN,73.00
ESCORTS,"2,315.00"
SIRCA,"2,705.30"
CIPLA,301.00
HEG,"1,467.10"
IVP,"1,722.40"
CDSL,153.00
EMAMILTD,"1,679.70"
RAMRAT,436.00
TVSMOTOR,250.90
PNBHOUSING,"2,139.85"
GOCOLORS,610.00
AMJLAND,"1,026.30"
RUPA,32.50
INDHOTEL,240.00
TORNTPOWER,543.00
SJS,"1,132.40"
METROBRAND,601.95
SYMPHONY,"1,038.00"
KSCL,828.00
RUBYMILLS,652.50
GEPIL,186.00
ONMOBILE,247.00
ISFT,61.70
LT,123.00
SEAMECLTD,"3,527.05"
ACE,"1,075.00"
VISHWARAJ,"1,074.95"
HINDUNILVR,15.00
BANCOINDIA,"2,304.85"
HBLPOWER,520.00
AURUM,400.05
HUHTAMAKI,132.60
CGCL,294.00
UTTAMSUGAR,204.25
GODREJIND,335.20
ATGL,756.05
DRREDDY,870.00
SBILIFE,"6,282.00"
MUTHOOTCAP,"1,482.20"
HOMEFIRST,281.00
VBL,815.05
ICICIBANK,"1,388.85"
WINDMACHIN,"1,080.00"
CAPLIPOINT,68.05
CAPACITE,"1,267.00"
UNIPARTS,214.85
XELPMOC,509.00
OBEROIRLTY,107.00
HIKAL,"1,295.00"
MASTEK,266.80
GMRP&UI,"2,610.05"
PARKHOTELS,39.90
SJLOGISTIC,172.25
BANKBARODA,261.00
BBTCL,259.90
IMPAL,259.00
KAMOPAINTS,943.00
POLYCAB,164.50
TEXINFRA,"4,760.00"
L&TFH,87.40
TECHM,147.00
RELAXO,"1,272.00"
OFSS,802.70
GAIL,"8,000.00"
HARIOMPIPE,168.00
PITTIENG,450.60
BCONCEPTS,681.05
LTFOODS,719.90
SPIC,161.90
GVPTECH,69.35
MPHASIS,11.55
VESUVIUS,"2,365.00"
GODREJAGRO,"3,111.50"
ROSSELLIND,490.00
SONATSOFTW,349.70
ORCHPHARMA,737.00
OLECTRA,970.00
TORNTPHARM,"1,582.95"
VPRPL,"2,652.00"
NTPC,144.00
BOHRAIND,321.05
MIRZAINT,22.00
PVRINOX,44.00
CANBK,"1,299.05"
JAMNAAUTO,534.00
MAHABANK,108.95
WABAG,53.95
COFORGE,656.00
SHOPERSTOP,"6,145.00"
CUMMINSIND,713.55
REDINGTON,"2,663.40"
DALMIASUG,191.00
INDIAMART,350.00
BERGEPAINT,"2,504.95"
BAJAJFINSV,554.10
HEUBACHIND,"1,565.60"
VINYLINDIA,435.00
ESABINDIA,330.50
AMIORG,"4,848.00"
ORIENTPPR,"1,015.00"
BLUEJET,41.00
MITCON,334.75
EICHERMOT,111.10
ASAHIINDIA,"3,717.00"
AXISBANK,510.00
DLF,"1,075.00"
TATACHEM,826.00
IFBIND,"1,091.95"
MALUPAPER,"1,333.20"
MEDICO,39.50
FLUOROCHEM,78.45
SPLPETRO,"3,211.00"
BDL,594.70
VOLTAS,"1,582.00"
ASTERDM,"1,037.10"
ADANIGREEN,411.00
SHK,"1,716.00"
STARPAPER,169.80
JINDALPOLY,216.50
POWERINDIA,480.00
LGBFORGE,"6,335.85"
EKC,9.00
INDOCO,116.45
HEMIPROP,321.05
ELGIEQUIP,169.00
DSSL,621.30
PYRAMID,705.00
MSTCLTD,141.00
DABUR,772.45
DOLATALGO,517.00
INDOBORAX,61.25
DIVISLAB,148.60
LTTS,"3,460.00"
LOYALTEX,"5,125.05"
AKSHOPTFBR,494.00
DWARKESH,8.65
BSOFT,77.60
EMAMIPAP,719.10
RBA,111.25
MOTILALOFS,101.30
DEEPINDS,"1,392.50"
IZMO,239.95
CARBORUNIV,247.70
NACLIND,"1,054.45"
THERMAX,57.40
SHYAMMETL,"3,607.05"
GRINFRA,541.00
ORIENTELEC,"1,206.05"
ALKEM,194.50
PTCIL,"4,915.00"
WINDLAS,"7,117.70"
ADVENZYMES,485.00
AARTIIND,348.50
IRCTC,616.00
CANFINHOME,875.05
UFLEX,716.85
WIPRO,403.00
MARATHON,501.15
BAJAJ-AUTO,452.25
RAMANEWS,"8,330.50"
WTICAB,15.30
GFLLIMITED,160.00
MINDACORP,68.40
TIDEWATER,380.00
BALMLAWRIE,"1,389.55"
POONAWALLA,205.00
INDUSTOWER,462.30
UTKARSHBNK,234.85
FOSECOIND,45.45
63MOONS,"3,050.00"
NIITMTS,381.00
POKARNA,491.05
LICHSGFIN,431.00
DIAMONDYD,586.50
AMBUJACEM,963.00
TRITURBINE,555.50
AUBANK,458.00
NAUKRI,573.00
SARDAEN,"5,072.50"
BEL,182.00
CRAFTSMAN,189.00
DEEPAKNTR,"3,825.00"
ICICIGI,"2,051.00"
VINATIORGA,"1,631.95"
GILLETTE,"1,560.05"
NSIL,"6,330.00"
